"Company Name,Location,Email,Products"
"TechCorp,San Francisco,contact@techcorp.com,Software Solutions"
"GreenFields,New Delhi,info@greenfields.in,Agricultural Equipment"
"UrbanEdge,New York,hello@urbanedge.com,Home Decor"
"FreshHarvest,London,sales@freshharvest.uk,Organic Foods"
"DigitalWave,Bangalore,contact@digitalwave.in,Web Development"
"QuickFix,Chicago,support@quickfix.com,Repair Services"
"BrightFuture,Mumbai,info@brightfuture.in,Educational Tools"
"WellnessHub,Sydney,contact@wellnesshub.au,Fitness Products"
"EcoFriendly,Paris,info@ecofriendly.fr,Recycled Goods"
"SmartHome,Berlin,support@smarthome.de,Home Automation"
"SecureTech,Tokyo,contact@securetech.jp,Cybersecurity Services"
"GlobalVision,Dubai,sales@globalvision.ae,Event Management"
"TravelEase,Singapore,info@travelease.sg,Travel Packages"
"GreenEnergy,Los Angeles,hello@greenenergy.com,Solar Panels"
"DigitalSolutions,Amsterdam,info@digitalsolutions.nl,IT Services"
"CloudNine,Zurich,contact@cloudnine.ch,Cloud Storage"
"HealthFirst,Toronto,support@healthfirst.ca,Healthcare Products"
"CleanLiving,Stockholm,info@cleanliving.se,Eco-Friendly Cleaners"
"AutoMotive,Detroit,sales@automotive.com,Car Accessories"
"SmartTech,Hong Kong,hello@smarttech.hk,Electronics"
